Date,Open,High,Low,Close,Adj Close,Volume,Company,SMA_20,EMA_20,RSI_14,BB_high,BB_low,IF_anomaly,Prophet_anomaly
2018-11-20,44.592499,45.3675,43.877499,44.244999,42.466824,271300800,AAPL,,,,,,0,1
2018-11-21,44.932499,45.067501,44.137501,44.195,42.418831,124496800,AAPL,,,,,,0,1
2018-11-23,43.735001,44.150002,43.025002,43.072498,41.341454,94496000,AAPL,,,,,,0,1
2018-11-26,43.560001,43.737499,42.564999,43.654999,41.900536,179994000,AAPL,,,,,,0,1
2018-11-27,42.877499,43.692501,42.720001,43.560001,41.809361,165549600,AAPL,,,,,,0,1
2018-11-28,44.182499,45.322498,43.732498,45.235001,43.417046,184250000,AAPL,,,,,,0,1
2018-11-29,45.665001,45.700001,44.424999,44.887501,43.083504,167080000,AAPL,,,,,,0,1
2018-11-30,45.072498,45.0825,44.2575,44.645,42.850761,158126000,AAPL,,,,,,0,1
2018-12-03,46.115002,46.235001,45.302502,46.205002,44.348072,163210000,AAPL,,,,,,0,1
2018-12-04,45.237499,45.5975,44.067501,44.172501,42.397255,165377200,AAPL,,,,,,0,1
2018-12-06,42.939999,43.695,42.605,43.68,41.924541,172393600,AAPL,,,,,,0,1
2018-12-07,43.372501,43.622501,42.075001,42.122501,40.429642,169126400,AAPL,,,,,,0,1
2018-12-10,41.25,42.522499,40.8325,42.400002,40.69598,248104000,AAPL,,,,,,0,1
2018-12-11,42.915001,42.947498,41.75,42.157501,40.463238,189126800,AAPL,,,36.480907507959394,,,0,1
2018-12-12,42.599998,42.98,42.255001,42.275002,40.576004,142510800,AAPL,,,37.61554797597855,,,0,1
2018-12-13,42.622501,43.142502,42.387501,42.737499,41.01992,127594400,AAPL,,,42.0067505156096,,,0,1
2018-12-14,42.25,42.27,41.32,41.369999,39.707363,162814800,AAPL,,,34.31544825552939,,,0,1
2018-12-17,41.362499,42.087502,40.682499,40.985001,39.337849,177151600,AAPL,,,32.51067518390444,,,0,1
2018-12-18,41.345001,41.8825,41.0975,41.517502,39.848953,135366000,AAPL,,,37.41364503371705,,,0,1
2018-12-19,41.5,41.862499,39.772499,40.2225,38.605995,196189200,AAPL,43.16700045,42.714951432375784,31.433038874763383,46.18710053175315,40.146900368246854,1,1
2018-12-20,40.099998,40.5275,38.825001,39.2075,37.631786,259092000,AAPL,42.9151255,42.38090843881619,27.696114456798412,46.345920324819026,39.48433067518098,1,1
2018-12-21,39.215,39.540001,37.407501,37.682499,36.16806,382978400,AAPL,42.58950045,41.93344087321465,23.2279634006899,46.650865578599664,38.52813532140034,-1,1
